## ENSEMBL VARIANT EFFECT PREDICTOR v105.0
## Output produced at 2023-02-09 15:03:05
## Using cache in /home/hjb_xxf/ssd_1/homo_sapiens/105_GRCh38
## Using API version 105, DB version ?
## ensembl version 105.f357e33
## ensembl-funcgen version 105.660df8f
## ensembl-variation version 105.ac8178e
## ensembl-io version 105.2a0a40c
## ClinVar version 202201
## gnomADe version r2.1.1
## assembly version GRCh38.p13
## gnomADg version v3.1.2
## dbSNP version 154
## COSMIC version 95
## HGMD-PUBLIC version 20204
## sift version sift5.2.2
## polyphen version 2.2.2
## 1000genomes version phase3
## regbuild version 1.0
## gencode version GENCODE 41
## genebuild version 2014-07
## Column descriptions:
## Uploaded_variation : Identifier of uploaded variant
## Location : Location of variant in standard coordinate format (chr:start or chr:start-end)
## Allele : The variant allele used to calculate the consequence
## Gene : Stable ID of affected gene
## Feature : Stable ID of feature
## Feature_type : Type of feature - Transcript, RegulatoryFeature or MotifFeature
## Consequence : Consequence type
## cDNA_position : Relative position of base pair in cDNA sequence
## CDS_position : Relative position of base pair in coding sequence
## Protein_position : Relative position of amino acid in protein
## Amino_acids : Reference and variant amino acids
## Codons : Reference and variant codon sequence
## Existing_variation : Identifier(s) of co-located known variants
## Extra column keys:
## IMPACT : Subjective impact classification of consequence type
## DISTANCE : Shortest distance from variant to transcript
## STRAND : Strand of the feature (1/-1)
## FLAGS : Transcript quality flags
#Uploaded_variation	Location	Allele	Gene	Feature	Feature_type	Consequence	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	Extra
chr1_4144479_insertion	chr1:4144479	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_4144482_insertion	chr1:4144482	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_4144594_insertion	chr1:4144594	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_6006310_insertion	chr1:6006310	insertion	ENSG00000069424	ENST00000378097	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_7509993_insertion	chr1:7509993	insertion	ENSG00000171735	ENST00000303635	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_8344893_insertion	chr1:8344893	insertion	ENSG00000162426	ENST00000471889	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=728;STRAND=1
chr1_8344896_insertion	chr1:8344896	insertion	ENSG00000162426	ENST00000471889	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=731;STRAND=1
chr1_10785251_insertion	chr1:10785251	insertion	ENSG00000130940	ENST00000377022	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_11622837_insertion	chr1:11622837	insertion	ENSG00000284708	ENST00000642131	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=721;STRAND=1
chr1_12006216_insertion	chr1:12006216	insertion	ENSG00000116688	ENST00000235329	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_12124830_insertion	chr1:12124830	insertion	ENSG00000120949	ENST00000263932	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_13673241_insertion	chr1:13673241	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_14110161_insertion	chr1:14110161	insertion	ENSG00000189337	ENST00000636203	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_14652516_insertion	chr1:14652516	insertion	ENSG00000189337	ENST00000376030	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_14867953_insertion	chr1:14867953	insertion	ENSG00000189337	ENST00000376030	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_16424206_insertion	chr1:16424206	insertion	ENSG00000187144	ENST00000335496	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_17265389_insertion	chr1:17265389	insertion	ENSG00000142619	ENST00000375460	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_17349734_insertion	chr1:17349734	insertion	ENSG00000159339	ENST00000375448	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_17349735_insertion	chr1:17349735	insertion	ENSG00000159339	ENST00000375448	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_17437674_insertion	chr1:17437674	insertion	ENSG00000179051	ENST00000375436	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_17731825_insertion	chr1:17731825	insertion	ENSG00000236648	ENST00000430540	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_18281192_insertion	chr1:18281192	insertion	ENSG00000117154	ENST00000251296	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_19434998_insertion	chr1:19434998	insertion	ENSG00000077549	ENST00000264202	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_19930540_insertion	chr1:19930540	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_21166054_insertion	chr1:21166054	insertion	ENSG00000075151	ENST00000602326	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_21166160_insertion	chr1:21166160	insertion	ENSG00000075151	ENST00000602326	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_21424743_insertion	chr1:21424743	insertion	ENSG00000227001	ENST00000453025	Transcript	non_coding_transcript_exon_variant,feature_elongation	543	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.03
chr1_22474944_insertion	chr1:22474944	insertion	ENSG00000184677	ENST00000375647	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_22503125_insertion	chr1:22503125	insertion	ENSG00000184677	ENST00000375647	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_22575327_insertion	chr1:22575327	insertion	ENSG00000070886	ENST00000166244	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_22575416_insertion	chr1:22575416	insertion	ENSG00000070886	ENST00000166244	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_25357610_insertion	chr1:25357610	insertion	ENSG00000183726	ENST00000374358	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_25589233_insertion	chr1:25589233	insertion	ENSG00000225643	ENST00000412797	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.01
chr1_26488521_insertion	chr1:26488521	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_26814650_insertion	chr1:26814650	insertion	ENSG00000241188	ENST00000477476	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=172;STRAND=1
chr1_27037322_insertion	chr1:27037322	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_27441753_insertion	chr1:27441753	insertion	ENSG00000158195	ENST00000618852	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_27441754_insertion	chr1:27441754	insertion	ENSG00000158195	ENST00000618852	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_30568769_insertion	chr1:30568769	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_30568794_insertion	chr1:30568794	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_30568802_insertion	chr1:30568802	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_33356224_insertion	chr1:33356224	insertion	ENSG00000233246	ENST00000432703	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.01
chr1_33356296_insertion	chr1:33356296	insertion	ENSG00000233246	ENST00000432703	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.01
chr1_33584694_insertion	chr1:33584694	insertion	ENSG00000121904	ENST00000373381	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_35102228_insertion	chr1:35102228	insertion	ENSG00000197056	ENST00000359858	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_35628598_insertion	chr1:35628598	insertion	ENSG00000126067	ENST00000373237	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_36133036_insertion	chr1:36133036	insertion	ENSG00000054116	ENST00000373166	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=3536;STRAND=-1
chr1_36133051_insertion	chr1:36133051	insertion	ENSG00000054116	ENST00000373166	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=3521;STRAND=-1
chr1_36750180_insertion	chr1:36750180	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_39046608_insertion	chr1:39046608	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_40267333_insertion	chr1:40267333	insertion	ENSG00000084073	ENST00000372759	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_40889544_insertion	chr1:40889544	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_41635626_insertion	chr1:41635626	insertion	ENSG00000127124	ENST00000372583	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_41635768_insertion	chr1:41635768	insertion	ENSG00000127124	ENST00000372583	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_41635784_insertion	chr1:41635784	insertion	ENSG00000127124	ENST00000372583	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_43917606_insertion	chr1:43917606	insertion	ENSG00000126091	ENST00000347631	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_45586285_insertion	chr1:45586285	insertion	ENSG00000132780	ENST00000350030	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_45867524_insertion	chr1:45867524	insertion	ENSG00000086015	ENST00000361297	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_48456503_insertion	chr1:48456503	insertion	ENSG00000132122	ENST00000371847	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_49680352_insertion	chr1:49680352	insertion	ENSG00000186094	ENST00000371839	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_49947953_insertion	chr1:49947953	insertion	ENSG00000186094	ENST00000371839	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_50382262_insertion	chr1:50382262	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_51733950_insertion	chr1:51733950	insertion	ENSG00000117859	ENST00000428468	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_52645396_insertion	chr1:52645396	insertion	ENSG00000182183	ENST00000517870	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_52901160_insertion	chr1:52901160	insertion	ENSG00000121310	ENST00000371522	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_52901222_insertion	chr1:52901222	insertion	ENSG00000121310	ENST00000371522	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_53097295_insertion	chr1:53097295	insertion	ENSG00000162383	ENST00000371494	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_53349926_insertion	chr1:53349926	insertion	ENSG00000226938	ENST00000429099	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=693;STRAND=-1
chr1_53845223_insertion	chr1:53845223	insertion	ENSG00000229687	ENST00000433953	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=3391;STRAND=1
chr1_54316358_insertion	chr1:54316358	insertion	ENSG00000157216	ENST00000610401	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_54738676_insertion	chr1:54738676	insertion	ENSG00000243725	ENST00000371281	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_55663285_insertion	chr1:55663285	insertion	ENSG00000234810	ENST00000643167	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_55789506_insertion	chr1:55789506	insertion	ENSG00000234810	ENST00000643167	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_55802974_insertion	chr1:55802974	insertion	ENSG00000234810	ENST00000643167	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_58981102_insertion	chr1:58981102	insertion	ENSG00000237352	ENST00000634502	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_60594823_insertion	chr1:60594823	insertion	ENSG00000226476	ENST00000661790	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_60594824_insertion	chr1:60594824	insertion	ENSG00000226476	ENST00000661790	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_60678902_insertion	chr1:60678902	insertion	ENSG00000231252	ENST00000667362	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_61506700_insertion	chr1:61506700	insertion	ENSG00000284808	ENST00000647399	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_61506701_insertion	chr1:61506701	insertion	ENSG00000284808	ENST00000647399	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_61617192_insertion	chr1:61617192	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_63239710_insertion	chr1:63239710	insertion	ENSG00000224209	ENST00000656229	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_65507461_insertion	chr1:65507461	insertion	ENSG00000116678	ENST00000349533	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_65590244_insertion	chr1:65590244	insertion	ENSG00000116678	ENST00000349533	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_66400602_insertion	chr1:66400602	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_69392021_insertion	chr1:69392021	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_72289625_insertion	chr1:72289625	insertion	ENSG00000286863	ENST00000665984	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_74727110_insertion	chr1:74727110	insertion	ENSG00000116791	ENST00000340866	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_74835894_insertion	chr1:74835894	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_75927206_insertion	chr1:75927206	insertion	ENSG00000154007	ENST00000284142	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.01
chr1_76390944_insertion	chr1:76390944	insertion	ENSG00000184005	ENST00000328299	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_76391032_insertion	chr1:76391032	insertion	ENSG00000184005	ENST00000328299	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_77444331_insertion	chr1:77444331	insertion	ENSG00000154027	ENST00000354567	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_77980588_insertion	chr1:77980588	insertion	ENSG00000162613	ENST00000370768	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=1516;STRAND=-1
chr1_80387645_insertion	chr1:80387645	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_82673564_insertion	chr1:82673564	insertion	ENSG00000233290	ENST00000650063	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_84987507_insertion	chr1:84987507	insertion	ENSG00000153898	ENST00000370608	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_91448555_insertion	chr1:91448555	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_92846793_insertion	chr1:92846793	insertion	ENSG00000122406	ENST00000370321	Transcript	downstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=4869;STRAND=1
chr1_93344933_insertion	chr1:93344933	insertion	ENSG00000117505	ENST00000370272	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=974;STRAND=1
chr1_93345029_insertion	chr1:93345029	insertion	ENSG00000117505	ENST00000370272	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=878;STRAND=1
chr1_93495784_insertion	chr1:93495784	insertion	ENSG00000137942	ENST00000271234	Transcript	intron_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=1;OverlapBP=1;OverlapPC=0.00
chr1_95224960_insertion	chr1:95224960	insertion	ENSG00000226026	ENST00000663020	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_95336294_insertion	chr1:95336294	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_97953731_insertion	chr1:97953731	insertion	ENSG00000225206	ENST00000602672	Transcript	intron_variant,non_coding_transcript_variant,feature_elongation	-	-	-	-	-	-	IMPACT=MODIFIER;STRAND=-1;OverlapBP=1;OverlapPC=0.00
chr1_98322957_insertion	chr1:98322957	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_100553870_insertion	chr1:100553870	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_101253114_insertion	chr1:101253114	insertion	ENSG00000228399	ENST00000455561	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=3160;STRAND=1
chr1_101253276_insertion	chr1:101253276	insertion	ENSG00000228399	ENST00000455561	Transcript	upstream_gene_variant	-	-	-	-	-	-	IMPACT=MODIFIER;DISTANCE=2998;STRAND=1
chr1_102103365_insertion	chr1:102103365	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_102523153_insertion	chr1:102523153	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_102583395_insertion	chr1:102583395	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_104712433_insertion	chr1:104712433	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
chr1_105075321_insertion	chr1:105075321	insertion	-	-	-	intergenic_variant	-	-	-	-	-	-	IMPACT=MODIFIER
